channel,countsA,countsB,sizeA,sizeB,cvA,cvB,rcs,linearity,pg,ploidy,
ARWR14 + Soy 2017-09-27 791.LMD,236.679415851622,1218.20722067997,61.2014245821292,110.210651483475,0.055866433828849,0.047130764189576,59.1939514464406,1.93476853866402,NA,NA,
ARWR15 + Soy 2017-09-27 792.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARWR16 + Soy 2017-09-27 793.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ARWR17 + Soy 2017-09-27 794.LMD,701.394101079298,1804.03095845278,73.130702689283,148.203402578952,0.055231466971568,0.035468477143909,3.51381334738459,2.01238315897406,1.23362050763855,NA,
ARWR18 + Soy 2017-09-27 795.LMD,390.309695967374,253.423379571924,67.9450845543273,143.899039438404,0.074530961975934,0.023537529603308,1.83964661037917,NA,1.18042977943941,,
ARWR19 + Soy 2017-09-27 796.LMD,706.312513588973,1311.74641012767,66.4385990724087,137.081052894606,0.052101146504823,0.053911618267984,4.48237946350351,2.02862004415418,1.21166634026895,,
ARWR2 + Soy 2017-09-27 779.LMD,1460.68482082267,2633.63715808103,66.8644483413006,121.644965974086,0.064294154402269,0.042686855546423,6.19431618934071,1.94145495378651,1.37417212060268,,
ARWR20 + Soy 2017-09-27 797.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
ARWR3 + Soy 2017-09-27 780.LMD,39.1218146491385,1193.10174624466,72.8205398409477,135.284400940586,0.06054779502394,0.076032705047904,6.90E+26,NA,NA,NA,
ARWR4 + Soy 2017-09-27 781.LMD,1271.35786506422,1769.61529093753,71.6299441044201,135.993079215047,0.104740849113984,0.077721252664652,1.07553411251107,1.84342197275336,1.31679392285748,NA,
ARWR5 + Soy 2017-09-27 782.LMD,237.028739059511,1158.80759889622,62.1746648972012,129.312310005087,0.081474884025915,0.042934503328174,1.43831489985635,2.1264789960143,1.20202525372015,,
ARWR6 + Soy 2017-09-27 783.LMD,2336.03068829974,1333.89453647306,50.7927535214584,106.429888117676,0.087098117426179,0.03754840918902,3.62307872372304,2.02898144751793,1.19310361073805,,
ARWR7 + Soy 2017-09-27 784.LMD,2081.95175982877,1859.90252112885,52.058155716301,106.1551955063,0.069739164170201,0.033449117291719,2.56306806658673,2.06675758740329,1.2259917064825,,
ARWR8 + Soy 2017-09-27 785.LMD,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
ARWR9 + Soy 2017-09-27 786.LMD,1899.83834969456,2690.0272075844,54.2974075177794,112.960284292041,0.058418265819869,0.036395093229897,3.33568364944854,1.96910238376885,1.20169243239071,NA,
MOMA1 + Soy 2017-09-27 755.LMD,2319.15293273846,1518.77055737439,62.6309844713784,139.295181822951,0.065893177115439,0.031521362212062,1.47766173881593,2.42268316424219,1.12406946980737,NA,
MOMA10 + Soy 2017-09-27 764.LMD,947.404914898962,808.609371677751,63.5301953275178,123.71757037663,0.058608328562971,0.043121372249795,2.58324334941156,1.96219675996201,1.28377471231682,,
MOMA11 + Soy 2017-09-27 765.LMD,642.870717388851,2655.85945303866,66.1595851546694,137.67569750949,0.098679353461005,0.039148953216368,1.30859696062315,2.01343419054638,1.20136644214403,,
MOMA12 + Soy 2017-09-27 766.LMD,875.307339594757,1278.83611399181,68.8470094826904,141.172416558209,0.056912678183639,0.038437821419379,3.70011676128754,1.99599309006557,1.21920080354902,,
MOMA13 + Soy 2017-09-27 767.LMD,525.536333369161,1495.1637861696,66.7995710419558,134.233624711171,0.070365601370592,0.036950545934905,7.46479568025816,2.18324300789728,1.24409161984725,,
